,no,name,x_coor,y_coor,addr
5259,14143,신덕성결교회,126.9565246,37.54605991,서울 마포구 신공덕동 2-436
5260,14144,신덕성결교회,126.9563022,37.54599718,서울 마포구 신공덕동 9-36
5261,14145,한겨레신문사,126.9587959,37.54816345,서울 마포구 공덕동 111-331
5262,14146,한겨레신문사,126.9590386,37.54805173,서울 마포구 공덕동 111-203
5263,14147,노을공원입구(난지미술창작스튜디오),126.8797521,37.56869345,서울 마포구 상암동 481-94
5264,14148,난지한강공원(야구장),126.8761217,37.56838455,서울 마포구 상암동 495-71
5265,14149,공덕오거리,126.9531318,37.54302992,서울 마포구 신공덕동 56-15
5266,14150,공덕오거리,126.9530132,37.54293862,서울 마포구 신공덕동 56-74
5267,14151,용마루고개.신공덕삼성아파트,126.9559387,37.54175854,서울 마포구 신공덕동 148-31
5268,14152,서울대동창회관,126.9507309,37.54236157,서울 마포구 도화동 565
5269,14153,공덕역,126.9515306,37.54361388,서울 마포구 공덕동 438-5
5270,14154,도화동현대아파트,126.9557151,37.54034547,서울 마포구 도화동 357-2
5271,14155,도화동현대아파트,126.9558164,37.54043642,서울 마포구 도화동 357-2
5272,14156,중동초등학교,126.9103716,37.56684378,서울 마포구 성산동 200-3
5273,14157,중동초등학교,126.9103467,37.56664428,서울 마포구 성산동 200-3
5274,14158,성산2동주민센터,126.9083659,37.56785386,서울 마포구 성산동 200-3
5275,14159,성산2동주민센터,126.9084204,37.56797779,서울 마포구 성산동 200-3
5276,14160,성산119안전센터,126.9038421,37.56984346,서울 마포구 중동 35-38
5277,14161,성산119안전센터,126.9036368,37.56980604,서울 마포구 성산동 467-2
5278,14162,성산아파트,126.9014704,37.57157351,서울 마포구 성산동 449
5279,14163,성산아파트,126.9015795,37.57130783,서울 마포구 성산동 449
5280,14164,상암휴먼시아아파트,126.8960528,37.57505256,서울 마포구 상암동 31-1
5281,14165,상암휴먼시아아파트,126.8954425,37.57530221,서울 마포구 상암동 31-1
5282,14166,상암초등학교,126.8933434,37.57654446,서울 마포구 상암동 37-2
5283,14167,상암초등학교,126.8934554,37.57659215,서울 마포구 상암동 37-26
5284,14168,신촌로터리,126.9369585,37.55381775,서울 마포구 노고산동 31-213
5285,14169,신촌로터리,126.9371735,37.55351345,서울 마포구 노고산동 31-213
5286,14170,서강대학교,126.9379404,37.55104876,서울 마포구 신수동 82-16
5287,14171,서강대학교,126.9374296,37.5518487,서울 마포구 신수동 82-45
5288,14172,광성중고등학교,126.9387605,37.549401,서울 마포구 신수동 8-2
5289,14173,광성중고등학교,126.939834,37.54887715,서울 마포구 신수동 34-7
5290,14174,대흥역,126.9410522,37.54819808,서울 마포구 대흥동 273-1
5291,14175,대흥역,126.9429594,37.54751702,서울 마포구 대흥동 184
